field_id,year,crop_code,crop_name
FLD_0000,2020,1,Corn
FLD_0001,2020,1,Corn
FLD_0002,2020,1,Corn
FLD_0003,2020,1,Corn
FLD_0004,2020,1,Corn
FLD_0005,2020,1,Corn
FLD_0006,2020,1,Corn
FLD_0007,2020,1,Corn
FLD_0008,2020,1,Corn
FLD_0009,2020,1,Corn
FLD_0010,2020,1,Corn
FLD_0011,2020,1,Corn
FLD_0012,2020,1,Corn
FLD_0013,2020,1,Corn
FLD_0014,2020,1,Corn
FLD_0015,2020,1,Corn
FLD_0016,2020,1,Corn
FLD_0017,2020,1,Corn
FLD_0018,2020,1,Corn
FLD_0019,2020,1,Corn
FLD_0020,2020,1,Corn
FLD_0021,2020,1,Corn
FLD_0022,2020,1,Corn
FLD_0023,2020,1,Corn
FLD_0024,2020,1,Corn
FLD_0025,2020,1,Corn
FLD_0026,2020,1,Corn
FLD_0027,2020,1,Corn
FLD_0028,2020,1,Corn
FLD_0029,2020,1,Corn
FLD_0000,2021,1,Corn
FLD_0001,2021,1,Corn
FLD_0002,2021,1,Corn
FLD_0003,2021,1,Corn
FLD_0004,2021,1,Corn
FLD_0005,2021,1,Corn
FLD_0006,2021,1,Corn
FLD_0007,2021,1,Corn
FLD_0008,2021,1,Corn
FLD_0009,2021,1,Corn
FLD_0010,2021,1,Corn
FLD_0011,2021,1,Corn
FLD_0012,2021,1,Corn
FLD_0013,2021,1,Corn
FLD_0014,2021,1,Corn
FLD_0015,2021,1,Corn
FLD_0016,2021,1,Corn
FLD_0017,2021,1,Corn
FLD_0018,2021,1,Corn
FLD_0019,2021,1,Corn
FLD_0020,2021,1,Corn
FLD_0021,2021,1,Corn
FLD_0022,2021,1,Corn
FLD_0023,2021,1,Corn
FLD_0024,2021,1,Corn
FLD_0025,2021,1,Corn
FLD_0026,2021,1,Corn
FLD_0027,2021,1,Corn
FLD_0028,2021,1,Corn
FLD_0029,2021,1,Corn
FLD_0000,2022,1,Corn
FLD_0001,2022,1,Corn
FLD_0002,2022,1,Corn
FLD_0003,2022,1,Corn
FLD_0004,2022,1,Corn
FLD_0005,2022,1,Corn
FLD_0006,2022,1,Corn
FLD_0007,2022,1,Corn
FLD_0008,2022,1,Corn
FLD_0009,2022,1,Corn
FLD_0010,2022,1,Corn
FLD_0011,2022,1,Corn
FLD_0012,2022,1,Corn
FLD_0013,2022,1,Corn
FLD_0014,2022,1,Corn
FLD_0015,2022,1,Corn
FLD_0016,2022,1,Corn
FLD_0017,2022,1,Corn
FLD_0018,2022,1,Corn
FLD_0019,2022,1,Corn
FLD_0020,2022,1,Corn
FLD_0021,2022,1,Corn
FLD_0022,2022,1,Corn
FLD_0023,2022,1,Corn
FLD_0024,2022,1,Corn
FLD_0025,2022,1,Corn
FLD_0026,2022,1,Corn
FLD_0027,2022,1,Corn
FLD_0028,2022,1,Corn
FLD_0029,2022,1,Corn
FLD_0000,2023,1,Corn
FLD_0001,2023,1,Corn
FLD_0002,2023,1,Corn
FLD_0003,2023,1,Corn
FLD_0004,2023,1,Corn
FLD_0005,2023,1,Corn
FLD_0006,2023,1,Corn
FLD_0007,2023,1,Corn
FLD_0008,2023,1,Corn
FLD_0009,2023,1,Corn
FLD_0010,2023,1,Corn
FLD_0011,2023,1,Corn
FLD_0012,2023,1,Corn
FLD_0013,2023,1,Corn
FLD_0014,2023,1,Corn
FLD_0015,2023,1,Corn
FLD_0016,2023,1,Corn
FLD_0017,2023,1,Corn
FLD_0018,2023,1,Corn
FLD_0019,2023,1,Corn
FLD_0020,2023,1,Corn
FLD_0021,2023,1,Corn
FLD_0022,2023,1,Corn
FLD_0023,2023,1,Corn
FLD_0024,2023,1,Corn
FLD_0025,2023,1,Corn
FLD_0026,2023,1,Corn
FLD_0027,2023,1,Corn
FLD_0028,2023,1,Corn
FLD_0029,2023,1,Corn
